"전출지별","전입지별",2022.02,2022.03,2022.04,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"울산광역시","전국",13334,11410,9398,164671,163091,157427,157185,173229,170473,155812,147116,140576,152228,149696,143554
"울산광역시","서울특별시",975,698,444,6484,6278,6799,6347,6458,6954,6750,6708,6849,6955,7062,6686
"울산광역시","부산광역시",1399,906,638,10242,9762,9511,10589,11090,11255,10246,10467,9667,9534,11595,10253
"울산광역시","대구광역시",398,551,203,3150,2874,3054,3282,3275,3189,3216,3335,3056,2856,3242,2815
"울산광역시","인천광역시",105,128,85,989,968,1045,1054,1085,1249,1135,1033,1095,1199,1053,1015
"울산광역시","광주광역시",38,27,17,405,330,377,379,406,482,416,392,409,308,372,352
"울산광역시","대전광역시",125,67,64,929,855,863,779,839,890,984,907,844,797,865,843
"울산광역시","울산광역시",7147,6515,5910,113357,114569,109156,107253,122133,116131,103342,94789,88692,101983,95637,90468
"울산광역시","세종특별자치시",41,25,21,-,-,61,87,188,306,273,352,361,335,336,328
"울산광역시","경기도",738,589,481,5539,5598,5667,5863,5321,5847,5955,6435,6660,6918,6907,7027
"울산광역시","강원도",106,73,60,1094,967,947,897,989,1128,1040,947,927,950,992,987
"울산광역시","충청북도",133,95,81,1061,948,859,891,891,1162,990,977,1193,1036,974,1165
"울산광역시","충청남도",187,136,116,1591,1446,1353,1364,1452,1555,1493,1648,1660,1489,1630,1673
"울산광역시","전라북도",65,66,55,1302,1074,933,1198,1134,935,839,740,697,737,719,609
"울산광역시","전라남도",122,93,52,989,897,919,972,1064,1222,1099,1175,1091,1088,1093,951
"울산광역시","경상북도",889,743,609,8080,8018,7794,7808,7801,8715,8264,7875,8911,8023,9062,9892
"울산광역시","경상남도",818,643,520,9104,8178,7695,8022,8611,8772,9026,8521,7671,7278,7409,7871
"울산광역시","제주특별자치도",48,55,42,355,329,394,400,492,681,744,815,793,742,748,619
"세종특별자치시","전국",6741,5097,4062,-,-,15291,15109,23070,30950,35236,47383,55000,58674,65909,62827
"세종특별자치시","서울특별시",661,507,278,-,-,1015,1095,1497,2228,2812,3195,3724,4488,5107,4662
"세종특별자치시","부산광역시",72,48,24,-,-,147,184,235,364,343,443,530,577,600,573
"세종특별자치시","대구광역시",62,69,33,-,-,91,109,192,219,263,340,377,461,511,464
"세종특별자치시","인천광역시",81,75,45,-,-,264,312,322,451,537,632,771,901,901,777
"세종특별자치시","광주광역시",67,30,24,-,-,86,111,195,236,237,326,314,386,507,460
"세종특별자치시","대전광역시",799,629,540,-,-,2367,2350,2744,3684,4606,5871,6365,7032,8254,7376
"세종특별자치시","울산광역시",21,22,13,-,-,76,78,90,116,105,119,131,180,170,179
"세종특별자치시","세종특별자치시",3023,2091,1901,-,-,4704,4105,10455,13990,14546,23245,28450,28381,30045,30037
"세종특별자치시","경기도",571,440,379,-,-,1488,1602,1840,2585,3436,3755,4322,5070,5728,5276
"세종특별자치시","강원도",86,54,41,-,-,193,238,219,316,410,482,449,581,616,633
"세종특별자치시","충청북도",372,333,266,-,-,1970,1875,1868,2308,2626,2815,2973,3388,5253,4128
"세종특별자치시","충청남도",518,475,309,-,-,2074,2205,2344,2905,3351,3881,4167,4330,5105,5226
"세종특별자치시","전라북도",131,109,75,-,-,219,245,310,411,633,707,689,828,973,907
"세종특별자치시","전라남도",66,35,36,-,-,163,129,186,251,316,369,444,489,516,532
"세종특별자치시","경상북도",91,92,50,-,-,199,218,269,403,440,452,556,679,673,676
"세종특별자치시","경상남도",70,64,32,-,-,196,212,241,344,411,488,464,624,649,604
"세종특별자치시","제주특별자치도",50,24,16,-,-,39,41,63,139,164,263,274,279,301,317
"경기도","전국",160593,145242,123114,2026383,1986623,1862209,1821303,1834379,1898312,1824976,1772162,1871621,1806296,1984199,1885698
"경기도","서울특별시",25887,22398,17029,285963,272407,254175,246464,249701,239557,234357,234448,233320,242339,266375,237206
"경기도","부산광역시",1261,1120,739,15121,17591,14545,14261,15819,14973,13485,12853,11904,11272,11883,12003
"경기도","대구광역시",1071,939,623,10763,11163,11026,11009,10961,10043,9627,8872,8920,8250,8641,8725
"경기도","인천광역시",7080,6681,5424,67913,78724,76730,74479,71554,71513,65864,61797,63361,62673,64709,70208
"경기도","광주광역시",815,587,477,11678,11394,11286,9851,10751,9323,8232,7739,7417,7296,7318,7264
"경기도","대전광역시",1739,1294,946,16368,16547,16907,15832,15187,15266,14586,13935,13412,13072,12730,13056
"경기도","울산광역시",455,378,314,4733,5144,5700,5923,6068,6089,4712,3810,3960,3967,4016,4026
"경기도","세종특별자치시",838,565,492,-,-,5390,3974,7541,9672,7129,7006,7139,6923,6130,6272
"경기도","경기도",104230,95445,84860,1435269,1387806,1294565,1274495,1275072,1346264,1301101,1259187,1366502,1301708,1448061,1365816
"경기도","강원도",3244,2917,2371,31988,32456,31437,29598,29917,30961,29355,28698,27502,28229,29381,30583
"경기도","충청북도",2557,2655,1737,24463,25238,23711,22826,23613,23692,22618,22486,23057,21705,22158,23086
"경기도","충청남도",4009,3757,2978,41910,43735,37616,36185,37181,37791,37784,39295,37148,33393,35944,37868
"경기도","전라북도",1557,1394,1028,20759,21888,19854,18123,19776,18131,17045,16612,14759,14014,14549,14754
"경기도","전라남도",1270,1168,1062,18243,18124,16979,16302,17144,16804,15073,14431,14325,13781,13762,13481
"경기도","경상북도",1846,1789,1265,19488,20553,19406,18618,18608,20166,18022,16077,15073,15618,15533,17422
"경기도","경상남도",1412,1264,982,16289,17884,16342,15806,16408,17483,15049,13661,13428,13119,13348,13682
"경기도","제주특별자치도",1322,891,787,5435,5969,6540,7557,9078,10584,10937,11255,10394,8937,9661,10246
"강원도","전국",20515,18245,15293,241183,231424,225184,214931,226284,222352,221592,209618,220252,215965,217897,210422
"강원도","서울특별시",2254,1996,1323,22798,21559,21324,19954,20174,20030,19877,19761,20417,19895,20048,19259
"강원도","부산광역시",220,157,111,2333,2288,2198,2020,2183,2333,2167,2028,1935,1811,1814,1816
"강원도","대구광역시",165,197,124,1653,1703,1838,1701,1549,1735,1818,1536,1643,1435,1495,1485
"강원도","인천광역시",423,453,283,5092,4999,5407,5071,5148,5058,5080,4663,4832,4596,4353,4520
"강원도","광주광역시",81,61,44,882,861,843,805,828,945,751,730,711,626,685,728
"강원도","대전광역시",275,216,198,2976,3282,3257,2995,2867,2902,2783,2682,2529,2471,2344,2462
"강원도","울산광역시",62,46,48,1162,1050,1234,1095,1146,1103,939,766,737,684,688,694
"강원도","세종특별자치시",94,62,37,-,-,311,272,490,765,710,797,870,688,770,837
"강원도","경기도",2646,2312,1799,31431,28919,29601,27207,28207,28238,28369,27656,29402,27835,28504,28284
"강원도","강원도",12564,11159,10135,153165,147142,140649,136041,145250,140018,140921,130963,140086,139681,141063,133645
"강원도","충청북도",494,465,320,5144,4974,4553,4267,4440,4706,4890,4764,4650,4457,4217,4417
"강원도","충청남도",377,292,216,3854,4106,3548,3445,3550,3743,3316,3645,3373,2996,3299,3499
"강원도","전라북도",111,118,84,1453,1454,1528,1537,1470,1577,1464,1378,1289,1190,1281,1280
"강원도","전라남도",133,108,111,1587,1632,1509,1416,1521,1589,1497,1405,1290,1512,1313,1268
"강원도","경상북도",297,333,206,4014,4029,4057,3878,3916,3999,3593,3587,3361,3224,2958,3245
"강원도","경상남도",202,186,177,3157,2866,2737,2541,2731,2772,2483,2312,2192,2078,2268,2175
"강원도","제주특별자치도",117,84,77,482,560,590,686,814,839,934,945,935,786,797,808
"충청북도","전국",19187,17359,14051,229707,220515,207622,212860,213577,213188,197668,194915,213737,208831,226441,210838
"충청북도","서울특별시",1702,1429,891,14561,13753,13624,13209,13291,13197,13032,12961,13783,13806,14574,13521
"충청북도","부산광역시",169,168,100,1618,1628,1489,1565,1932,1757,1559,1660,1406,1470,1616,1581
"충청북도","대구광역시",165,213,141,1655,1555,1705,1693,1816,1450,1517,1443,1450,1530,1548,1600
"충청북도","인천광역시",354,343,250,3473,3428,3624,3429,3457,3509,3308,3416,3394,3463,3385,3372
"충청북도","광주광역시",100,59,52,906,836,783,716,904,711,647,680,729,798,769,864
"충청북도","대전광역시",990,767,590,8853,9120,8803,8442,8552,7749,7917,8014,7905,7866,8343,8682
"충청북도","울산광역시",78,52,57,755,782,954,1173,865,1057,716,633,576,669,688,715
"충청북도","세종특별자치시",624,430,337,-,-,2797,2794,5940,9061,5544,6270,5978,4948,5261,5277
"충청북도","경기도",2066,1766,1422,22388,21319,20488,20083,19697,20075,19803,19833,20949,21135,22133,22647
"충청북도","강원도",491,396,287,4563,4348,4312,4247,4736,4725,4420,4581,4089,4489,4615,4627
"충청북도","충청북도",10604,10027,8689,153067,145679,133461,139959,136614,133264,124156,119825,138870,133384,147153,131430
"충청북도","충청남도",737,637,543,8376,8200,6253,6056,6304,6580,6056,6387,6087,6182,6817,6742
"충청북도","전라북도",203,174,116,1823,1961,1744,1834,1773,1753,1692,1770,1696,1775,1883,1961
"충청북도","전라남도",133,112,95,1199,1248,1183,1209,1191,1344,1233,1232,1133,1168,1474,1266
"충청북도","경상북도",431,491,275,3869,3996,3722,3692,3606,3859,3410,3475,3122,3629,3493,3892
"충청북도","경상남도",210,200,133,2115,2193,2128,2119,2057,2259,1751,1726,1731,1714,1896,1826
"충청북도","제주특별자치도",130,95,73,486,469,552,640,842,838,907,1009,839,805,793,835
"충청남도","전국",27458,23851,19213,301675,302546,277346,268053,279817,279680,271446,269337,282221,259584,286386,273673
"충청남도","서울특별시",2369,2159,1277,23115,21674,20638,19680,19841,19144,18726,18582,19427,20484,21398,19358
"충청남도","부산광역시",250,193,133,2683,2881,2408,2328,2920,2548,2210,2303,2086,2143,2334,2293
"충청남도","대구광역시",210,242,142,1849,2128,1925,2038,2157,1999,1780,1754,1737,1741,1866,1780
"충청남도","인천광역시",636,621,456,7441,7214,7180,6793,6784,6636,6407,6251,6365,6599,6775,6636
"충청남도","광주광역시",156,124,109,1554,1617,1489,1450,1797,1468,1427,1447,1435,1417,1432,1506
"충청남도","대전광역시",1586,1416,1015,21341,21494,18126,16502,17037,15551,15298,15082,15349,15026,15978,14739
"충청남도","울산광역시",169,80,82,1044,1306,1158,1376,1227,1468,1136,947,1008,976,974,1014
